qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join
26960,queries/stackoverflow/SQLStorm/26960.sql,15.082587,244.43231201171875,3,4
27045,queries/stackoverflow/SQLStorm/27045.sql,15.306791,94.1219482421875,5,7
27162,queries/stackoverflow/SQLStorm/27162.sql,15.203068,224.87835693359372,6,7
27203,queries/stackoverflow/SQLStorm/27203.sql,15.070043,88.98120117187501,4,3
27264,queries/stackoverflow/SQLStorm/27264.sql,15.277,87.22698974609375,4,5
27384,queries/stackoverflow/SQLStorm/27384.sql,15.05926,84.47845458984375,4,3
27435,queries/stackoverflow/SQLStorm/27435.sql,15.114219,217.35009765625,4,4
27475,queries/stackoverflow/SQLStorm/27475.sql,15.130928,246.75207519531247,4,5
27631,queries/stackoverflow/SQLStorm/27631.sql,15.849038,137.486572265625,5,4
27742,queries/stackoverflow/SQLStorm/27742.sql,15.059722,89.15191650390625,2,2
27775,queries/stackoverflow/SQLStorm/27775.sql,15.091181,88.77313232421875,5,4
27839,queries/stackoverflow/SQLStorm/27839.sql,15.057241,87.04534912109375,2,3
27846,queries/stackoverflow/SQLStorm/27846.sql,15.056607,89.24017333984375,3,4
27851,queries/stackoverflow/SQLStorm/27851.sql,15.176824,84.01470947265625,5,5
27925,queries/stackoverflow/SQLStorm/27925.sql,15.176116,84.57763671875,5,6
27935,queries/stackoverflow/SQLStorm/27935.sql,15.858714,123.8897705078125,5,3
27966,queries/stackoverflow/SQLStorm/27966.sql,15.102398,87.32342529296875,5,5
28022,queries/stackoverflow/SQLStorm/28022.sql,15.081308,242.61138916015625,3,4
28292,queries/stackoverflow/SQLStorm/28292.sql,15.060756,238.25445556640625,5,6
28337,queries/stackoverflow/SQLStorm/28337.sql,15.059414,86.0408935546875,3,3
28474,queries/stackoverflow/SQLStorm/28474.sql,15.205072,91.8841552734375,3,4
28481,queries/stackoverflow/SQLStorm/28481.sql,15.202596,86.3553466796875,5,6
2851,queries/stackoverflow/SQLStorm/2851.sql,15.20071,87.5269775390625,5,5
28584,queries/stackoverflow/SQLStorm/28584.sql,15.251759,160.86004638671875,5,5
28592,queries/stackoverflow/SQLStorm/28592.sql,15.274312,92.8883056640625,4,6
28731,queries/stackoverflow/SQLStorm/28731.sql,15.061196,85.99975585937501,4,3
29008,queries/stackoverflow/SQLStorm/29008.sql,15.08171,241.92462158203125,5,4
29172,queries/stackoverflow/SQLStorm/29172.sql,15.070296,251.96124267578125,6,7
29302,queries/stackoverflow/SQLStorm/29302.sql,15.195602,85.5892333984375,3,3
29365,queries/stackoverflow/SQLStorm/29365.sql,15.191833,86.2052001953125,3,3
29374,queries/stackoverflow/SQLStorm/29374.sql,15.065738,249.41314697265625,3,3
29394,queries/stackoverflow/SQLStorm/29394.sql,15.229292,84.6392822265625,5,5
29675,queries/stackoverflow/SQLStorm/29675.sql,15.075031,229.50799560546875,3,3
2975,queries/stackoverflow/SQLStorm/2975.sql,15.222229,87.59716796875,4,4
29886,queries/stackoverflow/SQLStorm/29886.sql,15.144733,249.83850097656247,4,4
29993,queries/stackoverflow/SQLStorm/29993.sql,15.060988,239.69720458984372,4,5
3011,queries/stackoverflow/SQLStorm/3011.sql,15.080733,87.22509765625,5,5
30155,queries/stackoverflow/SQLStorm/30155.sql,15.200023,88.8973388671875,5,5
30175,queries/stackoverflow/SQLStorm/30175.sql,15.228522,86.50390625,7,7
3055,queries/stackoverflow/SQLStorm/3055.sql,15.075302,222.57696533203125,4,4
30831,queries/stackoverflow/SQLStorm/30831.sql,15.278843,85.80487060546875,4,5
30959,queries/stackoverflow/SQLStorm/30959.sql,15.290493,88.35540771484375,5,5
30969,queries/stackoverflow/SQLStorm/30969.sql,15.221154,157.54400634765625,5,7
3097,queries/stackoverflow/SQLStorm/3097.sql,15.193691,86.0546875,4,4
31512,queries/stackoverflow/SQLStorm/31512.sql,15.069452,241.849365234375,4,5
31911,queries/stackoverflow/SQLStorm/31911.sql,15.236679,84.9251708984375,4,5
32236,queries/stackoverflow/SQLStorm/32236.sql,15.071452,228.1171875,5,6
32456,queries/stackoverflow/SQLStorm/32456.sql,15.079662,96.9090576171875,4,5
32708,queries/stackoverflow/SQLStorm/32708.sql,15.055367,238.40686035156247,5,6
333,queries/stackoverflow/SQLStorm/333.sql,15.067399,231.93395996093753,5,6
33306,queries/stackoverflow/SQLStorm/33306.sql,15.281554,165.105224609375,5,5
33435,queries/stackoverflow/SQLStorm/33435.sql,15.07095,234.68048095703125,5,6
33639,queries/stackoverflow/SQLStorm/33639.sql,15.068545,232.14465332031247,4,5
33821,queries/stackoverflow/SQLStorm/33821.sql,15.347472,87.75732421875,5,6
34189,queries/stackoverflow/SQLStorm/34189.sql,15.131326,133.5850830078125,3,4
