qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
12351,queries/tpch/SQLStorm/12351.sql,15.180243,88.97729492187501,7,5,timeout
12354,queries/tpch/SQLStorm/12354.sql,15.069673,83.31341552734375,5,4,timeout
12379,queries/tpch/SQLStorm/12379.sql,15.113954,238.83660888671875,7,6,timeout
12385,queries/tpch/SQLStorm/12385.sql,15.099884,97.31011962890624,5,4,timeout
12403,queries/tpch/SQLStorm/12403.sql,15.156484,246.50872802734372,5,4,timeout
12422,queries/tpch/SQLStorm/12422.sql,15.122969,248.51159667968753,6,5,timeout
12426,queries/tpch/SQLStorm/12426.sql,15.065204,90.982421875,4,3,timeout
12427,queries/tpch/SQLStorm/12427.sql,15.058743,85.86474609375,6,5,timeout
12448,queries/tpch/SQLStorm/12448.sql,15.071405,83.6732177734375,7,6,timeout
12468,queries/tpch/SQLStorm/12468.sql,15.151982,182.659912109375,7,6,timeout
12470,queries/tpch/SQLStorm/12470.sql,15.079051,91.02124023437501,4,3,timeout
12486,queries/tpch/SQLStorm/12486.sql,15.11833,251.26251220703125,7,6,timeout
12494,queries/tpch/SQLStorm/12494.sql,15.064495,88.7813720703125,4,3,timeout
12496,queries/tpch/SQLStorm/12496.sql,15.065186,90.6171875,4,3,timeout
12550,queries/tpch/SQLStorm/12550.sql,15.067433,89.54058837890625,4,3,timeout
12596,queries/tpch/SQLStorm/12596.sql,15.117255,250.51232910156247,7,6,timeout
1260,queries/tpch/SQLStorm/1260.sql,15.090913,91.62744140625,6,7,timeout
12622,queries/tpch/SQLStorm/12622.sql,15.118163,138.41082763671875,7,6,timeout
12649,queries/tpch/SQLStorm/12649.sql,15.065207,90.57403564453124,4,3,timeout
12668,queries/tpch/SQLStorm/12668.sql,15.065379,90.12811279296876,4,3,timeout
12703,queries/tpch/SQLStorm/12703.sql,15.064181,91.1572265625,4,3,timeout
12706,queries/tpch/SQLStorm/12706.sql,15.062971,85.75146484375,8,6,timeout
12713,queries/tpch/SQLStorm/12713.sql,15.064014,89.38250732421875,4,3,timeout
12754,queries/tpch/SQLStorm/12754.sql,15.152164,96.8548583984375,6,5,timeout
1277,queries/tpch/SQLStorm/1277.sql,15.140117,132.03411865234375,7,7,timeout
12782,queries/tpch/SQLStorm/12782.sql,15.114709,236.03656005859372,7,6,timeout
12830,queries/tpch/SQLStorm/12830.sql,15.170209,206.30194091796875,5,4,timeout
12836,queries/tpch/SQLStorm/12836.sql,15.118401,250.99853515625,7,6,timeout
12842,queries/tpch/SQLStorm/12842.sql,15.096908,96.48004150390624,5,4,timeout
12895,queries/tpch/SQLStorm/12895.sql,15.162947,148.8856201171875,6,5,timeout
12921,queries/tpch/SQLStorm/12921.sql,15.062401,86.30670166015625,5,4,timeout
12927,queries/tpch/SQLStorm/12927.sql,15.199572,178.83056640625,4,3,timeout
12944,queries/tpch/SQLStorm/12944.sql,15.10674,96.94366455078125,6,5,timeout
12961,queries/tpch/SQLStorm/12961.sql,15.063914,90.5609130859375,4,3,timeout
12962,queries/tpch/SQLStorm/12962.sql,15.225748,115.38287353515624,5,4,timeout
12971,queries/tpch/SQLStorm/12971.sql,15.242898,230.67291259765625,5,4,timeout
13,queries/tpch/SQLStorm/13.sql,15.089542,83.33038330078125,5,6,timeout
130,queries/tpch/SQLStorm/130.sql,15.059684,87.173828125,7,4,timeout
13002,queries/tpch/SQLStorm/13002.sql,15.104825,96.39990234375,5,4,timeout
13029,queries/tpch/SQLStorm/13029.sql,15.097826,84.2391357421875,5,4,timeout
13042,queries/tpch/SQLStorm/13042.sql,15.13216,93.38861083984376,4,3,timeout
13051,queries/tpch/SQLStorm/13051.sql,15.060049,85.35546875,5,4,timeout
13066,queries/tpch/SQLStorm/13066.sql,15.17802,193.73156738281247,5,4,timeout
13068,queries/tpch/SQLStorm/13068.sql,15.132675,242.04180908203125,4,3,timeout
13115,queries/tpch/SQLStorm/13115.sql,15.167824,185.18438720703125,5,4,timeout
1314,queries/tpch/SQLStorm/1314.sql,15.170755,114.2652587890625,5,5,timeout
13145,queries/tpch/SQLStorm/13145.sql,15.08856,96.0859375,5,4,timeout
13158,queries/tpch/SQLStorm/13158.sql,15.064161,88.13720703125,3,2,timeout
13203,queries/tpch/SQLStorm/13203.sql,15.097274,96.44903564453124,4,3,timeout
13231,queries/tpch/SQLStorm/13231.sql,15.086038,106.6036376953125,4,3,timeout
13235,queries/tpch/SQLStorm/13235.sql,15.150383,225.17041015625,6,5,timeout
13240,queries/tpch/SQLStorm/13240.sql,15.183534,128.572509765625,4,3,timeout
13257,queries/tpch/SQLStorm/13257.sql,15.121639,247.91375732421875,6,5,timeout
13327,queries/tpch/SQLStorm/13327.sql,15.150936,188.45196533203125,3,2,timeout
13339,queries/tpch/SQLStorm/13339.sql,15.095089,84.16705322265625,5,4,timeout
1335,queries/tpch/SQLStorm/1335.sql,15.097097,102.93487548828124,6,9,timeout
1337,queries/tpch/SQLStorm/1337.sql,15.061018,85.1793212890625,7,8,timeout
13379,queries/tpch/SQLStorm/13379.sql,15.117894,249.97082519531247,7,6,timeout
13399,queries/tpch/SQLStorm/13399.sql,15.258099,245.00927734375,8,7,timeout
13407,queries/tpch/SQLStorm/13407.sql,15.069836,82.64874267578125,7,6,timeout
13413,queries/tpch/SQLStorm/13413.sql,15.119276,91.11358642578125,4,3,timeout
13436,queries/tpch/SQLStorm/13436.sql,15.063888,90.90093994140624,4,3,timeout
13459,queries/tpch/SQLStorm/13459.sql,15.066965,89.45648193359375,4,3,timeout
13463,queries/tpch/SQLStorm/13463.sql,15.164487,110.31787109375,5,4,timeout
13506,queries/tpch/SQLStorm/13506.sql,15.067847,91.05541992187501,4,3,timeout
13514,queries/tpch/SQLStorm/13514.sql,15.091655,96.54315185546876,4,3,timeout
13520,queries/tpch/SQLStorm/13520.sql,15.064063,91.6900634765625,4,3,timeout
13522,queries/tpch/SQLStorm/13522.sql,15.250783,238.62481689453125,6,5,timeout
13581,queries/tpch/SQLStorm/13581.sql,15.121762,250.87164306640625,7,6,timeout
13595,queries/tpch/SQLStorm/13595.sql,15.062104,85.4854736328125,5,4,timeout
13599,queries/tpch/SQLStorm/13599.sql,15.058519,82.24462890625,4,4,timeout
13605,queries/tpch/SQLStorm/13605.sql,15.225304,221.53503417968753,3,2,timeout
13628,queries/tpch/SQLStorm/13628.sql,15.10417,90.9114990234375,4,3,timeout
13645,queries/tpch/SQLStorm/13645.sql,15.22154,193.3505859375,6,5,timeout
13667,queries/tpch/SQLStorm/13667.sql,15.106041,96.62005615234376,5,4,timeout
13680,queries/tpch/SQLStorm/13680.sql,15.070074,83.6971435546875,5,4,timeout
13685,queries/tpch/SQLStorm/13685.sql,15.069981,83.7872314453125,7,6,timeout
13721,queries/tpch/SQLStorm/13721.sql,15.125928,166.17950439453125,7,6,timeout
13723,queries/tpch/SQLStorm/13723.sql,15.065255,91.30340576171875,4,3,timeout
1375,queries/tpch/SQLStorm/1375.sql,15.252199,93.20892333984376,6,8,timeout
13776,queries/tpch/SQLStorm/13776.sql,15.170354,197.51873779296875,4,3,timeout
13821,queries/tpch/SQLStorm/13821.sql,15.096332,192.02233886718753,3,2,timeout
13834,queries/tpch/SQLStorm/13834.sql,15.206518,184.48895263671875,4,3,timeout
13844,queries/tpch/SQLStorm/13844.sql,15.065311,91.43408203125,4,3,timeout
13850,queries/tpch/SQLStorm/13850.sql,15.082677,89.0428466796875,5,4,timeout
13872,queries/tpch/SQLStorm/13872.sql,15.065019,91.19439697265624,4,3,timeout
13873,queries/tpch/SQLStorm/13873.sql,15.064019,90.23114013671875,4,3,timeout
13879,queries/tpch/SQLStorm/13879.sql,15.101575,82.77124023437501,5,4,timeout
13880,queries/tpch/SQLStorm/13880.sql,15.121591,246.97869873046875,6,5,timeout
13920,queries/tpch/SQLStorm/13920.sql,15.117248,250.11828613281247,7,6,timeout
13944,queries/tpch/SQLStorm/13944.sql,15.123135,248.38317871093753,6,5,timeout
13951,queries/tpch/SQLStorm/13951.sql,15.208364,180.322998046875,3,2,timeout
13962,queries/tpch/SQLStorm/13962.sql,15.157008,135.50048828125,6,5,timeout
1397,queries/tpch/SQLStorm/1397.sql,15.089358,81.47198486328125,5,5,timeout
13972,queries/tpch/SQLStorm/13972.sql,15.06515,90.09204101562499,4,3,timeout
13987,queries/tpch/SQLStorm/13987.sql,15.067776,90.18237304687501,4,3,timeout
13991,queries/tpch/SQLStorm/13991.sql,15.066567,89.53326416015625,4,3,timeout
13998,queries/tpch/SQLStorm/13998.sql,15.11705,250.14984130859372,7,6,timeout
14031,queries/tpch/SQLStorm/14031.sql,15.064377,90.26275634765624,4,3,timeout
14046,queries/tpch/SQLStorm/14046.sql,15.067592,89.8388671875,4,3,timeout
14047,queries/tpch/SQLStorm/14047.sql,15.064767,90.85552978515624,4,3,timeout
14060,queries/tpch/SQLStorm/14060.sql,15.114871,237.36956787109372,7,6,timeout
14071,queries/tpch/SQLStorm/14071.sql,15.063881,89.9945068359375,4,3,timeout
14077,queries/tpch/SQLStorm/14077.sql,15.064289,91.0123291015625,4,3,timeout
14089,queries/tpch/SQLStorm/14089.sql,15.064179,89.97174072265625,4,3,timeout
1409,queries/tpch/SQLStorm/1409.sql,15.089121,82.9736328125,6,6,timeout
14147,queries/tpch/SQLStorm/14147.sql,15.272588,247.699951171875,7,6,timeout
14165,queries/tpch/SQLStorm/14165.sql,15.118317,250.55261230468753,7,6,timeout
1418,queries/tpch/SQLStorm/1418.sql,15.080671,97.9305419921875,7,5,timeout
